Compound,RT(s),RI,CAS,formula
"2(3H)-Furanone, 5-ethyldihydro-",1040,1715,695-06-7,C6H10O2
E-Citral,1070,1761,141-27-5,C10H16O
2-Undecenal,1071,1761,2463-77-6,C11H20O
"2(5H)-Furanone, 5-ethyl- :2",1078,1772,2407-43-4,C6H8O2
"Benzoic acid, 2-hydroxy-, methyl ester",1091,1792,119-36-8,C8H8O3
"2,4-Decadienal",1109,1821,2363-88-4,C10H16O
DAMASCENONE A,1120,1837,23726-93-4,C13H18O
"Dodecanoic acid, ethyl ester",1126,1848,106-33-2,C14H28O2
trans-Geraniol,1128,1851,106-24-1,C10H18O
Hexanoic acid,1133,1858,142-62-1,C6H12O2
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",1136,1863,3796-70-1,C13H22O
"Methane, sulfonylbis-",1166,1913,67-71-0,C2H6O2S
Benzeneethanol,1173,1924,60-12-8,C8H10O
"2(3H)-Furanone, 5-butyldihydro- :2",1181,1937,104-50-7,C8H14O2
"trans-4,5-Epoxy-(E)-2-decenal",1228,2019,0-00-0,C10H16O2
Furaneol,1244,2048,3658-77-3,C6H8O3
"Pentadecanoic acid, ethyl ester",1249,2057,41114-00-5,C17H34O2
Octanoic acid,1261,2079,124-07-2,C8H16O2
"Heptadecanoic acid, methyl ester",1328,2226,112-39-0,C17H34O2
"Hexadecanoic acid, ethyl ester",1343,2263,628-97-7,C18H36O2
